"Freq [GHz]","dB(S(2,1)) []","dB(S(1,1)) []"
8.785,-0.108692749654009,-16.0620018154752
8.79,-0.111450589866057,-15.954696716211
8.795,-0.114245813247045,-15.8486540548804
8.8,-0.117078497872099,-15.7438456916342
8.805,-0.119948720749705,-15.6402444376364
8.81,-0.122856557827819,-15.5378240116849
8.815,-0.125802084000198,-15.4365589992639
8.82,-0.128785373112881,-15.3364248138681
8.825,-0.131806497970906,-15.2373976604485
8.83,-0.134865530345193,-15.1394545008429
8.835,-0.13796254097962,-15.042573021065
8.84,-0.141097599598256,-14.9467316003317
8.845,-0.144270774912824,-14.8519092817223
8.85,-0.14748213463027,-14.7580857443672
8.855,-0.150731745460576,-14.6652412770713
8.86,-0.154019673124682,-14.5733567532865
8.865,-0.157345982362616,-14.4824136073516
8.87,-0.160710736941759,-14.3923938119238
8.875,-0.16411399966528,-14.3032798565316
8.88,-0.167555832380725,-14.2150547271846
8.885,-0.171036295988753,-14.1277018869781
8.89,-0.174555450452029,-14.0412052576365
8.895,-0.178113354804237,-13.9555492019414
8.9,-0.181710067159274,-13.8707185069958
8.905,-0.185345644720526,-13.786698368278
8.91,-0.18902014379033,-13.7034743744399
8.915,-0.192733619779523,-13.6210324928128
8.92,-0.196486127217133,-13.5393590555784
8.925,-0.200277719760182,-13.4584407465728
8.93,-0.204108450203622,-13.3782645886879
8.935,-0.207978370490358,-13.2988179318404
8.94,-0.211887531721382,-13.2200884414776
8.945,-0.215835984166028,-13.142064087593
8.95,-0.219823777272308,-13.0647331342262
8.955,-0.223850959677349,-12.9880841294217
8.96,-0.227917579217907,-12.912105895624
8.965,-0.23202368294098,-12.8367875204879
8.97,-0.236169317114505,-12.7621183480823
8.975,-0.240354527238105,-12.6880879704702
8.98,-0.244579358053939,-12.6146862196444
8.985,-0.248843853557588,-12.5419031598044
8.99,-0.253148057009031,-12.4697290799559
8.995,-0.257492010943656,-12.3981544868201
9,-0.261875757183332,-12.3271700980357
